,"Hong Kong (HKD)",,"Portugal (EUR)",,"Honduras (USD)",,"Paraguay (USD)",,"Croatia (HRK)",,"Hungary (HUF)",,"Qatar (QAR)",,"Indonesia (IDR)",,"Ireland (EUR)",,"Israel (ILS)",,"United Arab Emirates (AED)",,"India (INR)",,"South Africa (ZAR)",,"Iceland (USD)",,"Albania (USD)",,"Italy (EUR)",,"Armenia (USD)",,"Argentina (USD)",,"Austria (EUR)",,"Australia (AUD)",,"Romania (RON)",,"Russia (RUB)",,"Belgium (EUR)",,"Bulgaria (BGN)",,"Japan (JPY)",,"Bahrain (USD)",,"Bolivia (USD)",,"Saudi Arabia (SAR)",,"Brazil (BRL)",,"Sweden (SEK)",,"Singapore (SGD)",,"Slovenia (EUR)",,"Belarus (USD)",,"Slovakia (EUR)",,"Canada (CAD)",,"El Salvador (USD)",,"Switzerland (CHF)",,"Korea, Republic Of (KRW)",,"Chile (CLP)",,"China (CNY)",,"Colombia (COP)",,"Costa Rica (USD)",,"Kazakhstan (KZT)",,"Thailand (THB)",,"Cyprus (EUR)",,"Czech Republic (CZK)",,"Turkey (TRY)",,"Germany (EUR)",,"Taiwan (TWD)",,"Tanzania, United Republic Of (TZS)",,"Denmark (DKK)",,"Lithuania (EUR)",,"Luxembourg (EUR)",,"Latvia (EUR)",,"Dominican Republic (USD)",,"Ukraine (USD)",,"United States (USD)",,"Ecuador (USD)",,"Estonia (EUR)",,"Egypt (EGP)",,"Malta (EUR)",,"Mexico (MXN)",,"Malaysia (MYR)",,"Spain (EUR)",,"Vietnam (VND)",,"Nigeria (NGN)",,"Nicaragua (USD)",,"Netherlands (EUR)",,"Norway (NOK)",,"Finland (EUR)",,"France (EUR)",,"New Zealand (NZD)",,"United Kingdom (GBP)",,"Greece (EUR)",,"Guatemala (USD)",,"Panama (USD)",,"Peru (PEN)",,"Philippines (PHP)",,"Pakistan (PKR)",,"Poland (PLN)",
,"Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds"
Tier 1,"8.00","5.60","1.09","0.62","0.99","0.70","0.99","0.70","8.99","5.03","349","192","3.69","2.58","15000","10500","1.09","0.62","3.50","2.45","3.69","2.46","79.00","46.86","14.99","9.12","1.23","0.70","1.19","0.70","1.09","0.63","1.19","0.69","0.99","0.70","1.09","0.64","1.49","0.95","4.99","2.94","75.00","44.49","1.09","0.63","1.99","1.16","120","84","0.99","0.70","0.99","0.70","3.69","2.46","3.90","2.73","10.00","5.60","1.48","1.04","1.09","0.63","1.19","0.69","1.09","0.64","1.39","0.97","0.99","0.70","1.00","0.65","1200","764","690","483","6.00","4.12","2900.00","2030.00","0.99","0.70","349.00","244.30","35.00","24.50","1.09","0.64","25.00","14.46","6.99","4.15","1.09","0.64","30","20","2200.00","1540.00","9.00","5.04","1.09","0.63","1.09","0.65","1.09","0.63","0.99","0.70","0.99","0.70","0.99","0.70","0.99","0.70","1.09","0.64","18.99","11.76","1.09","0.65","19.00","13.30","3.90","2.73","1.09","0.63","22000","15400","350.00","245.00","0.99","0.70","1.09","0.63","11.00","6.16","1.09","0.62","1.09","0.64","1.69","1.03","0.99","0.58","1.09","0.62","0.99","0.70","0.99","0.70","3.50","2.45","49.00","34.30","120.00","84.00","4.99","2.84"
Tier 2,"15.00","10.50","2.29","1.30","1.99","1.40","1.99","1.40","16.99","9.51","699","385","7.29","5.10","29000","20300","2.29","1.30","6.90","4.83","7.29","4.86","159.00","94.32","29.99","18.25","2.47","1.40","2.39","1.40","2.29","1.31","2.49","1.45","1.99","1.40","2.29","1.34","2.99","1.90","9.99","5.88","149.00","88.39","2.29","1.32","4.49","2.62","240","168","1.99","1.40","1.99","1.40","7.29","4.86","7.90","5.53","20.00","11.20","2.98","2.09","2.29","1.31","2.49","1.45","2.29","1.34","2.79","1.95","1.99","1.40","2.00","1.30","2500","1591","1300","910","12.00","8.23","5900.00","4130.00","1.99","1.40","699.00","489.30","69.00","48.30","2.29","1.35","49.00","28.35","12.99","7.71","2.29","1.35","60","40","4500.00","3150.00","17.00","9.52","2.29","1.32","2.29","1.37","2.29","1.32","1.99","1.40","1.99","1.40","1.99","1.40","1.99","1.40","2.29","1.34","37.99","23.53","2.29","1.36","39.00","27.30","7.90","5.53","2.29","1.32","45000","31500","700.00","490.00","1.99","1.40","2.29","1.32","22.00","12.32","2.29","1.29","2.29","1.34","3.49","2.12","1.99","1.16","2.29","1.29","1.99","1.40","1.99","1.40","6.90","4.83","99.00","69.30","250.00","175.00","8.99","5.12"
Tier 3,"23.00","16.10","3.49","1.99","2.99","2.10","2.99","2.10","24.99","13.99","1090","601","10.99","7.69","45000","31500","3.49","1.99","10.90","7.63","10.99","7.33","249.00","147.71","49.99","30.43","3.71","2.10","3.59","2.10","3.49","2.00","3.49","2.04","2.99","2.10","3.49","2.04","4.49","2.86","14.99","8.82","229.00","135.85","3.49","2.02","6.49","3.79","360","252","2.99","2.10","2.99","2.10","10.99","7.33","10.90","7.63","30.00","16.80","4.48","3.14","3.49","2.00","3.49","2.04","3.49","2.04","3.99","2.79","2.99","2.10","3.00","1.95","3900","2482","1900","1330","18.00","12.35","8900.00","6230.00","2.99","2.10","999.00","699.30","99.00","69.30","3.49","2.05","79.00","45.70","19.99","11.86","3.49","2.05","90","60","6500.00","4550.00","25.00","14.00","3.49","2.02","3.49","2.09","3.49","2.02","2.99","2.10","2.99","2.10","2.99","2.10","2.99","2.10","3.49","2.04","54.99","34.06","3.49","2.07","59.00","41.30","12.90","9.03","3.49","2.02","69000","48300","1100.00","770.00","2.99","2.10","3.49","2.02","33.00","18.48","3.49","1.97","3.49","2.04","4.99","3.04","2.99","1.74","3.49","1.97","2.99","2.10","2.99","2.10","9.90","6.93","149.00","104.30","370.00","259.00","13.99","7.96"
Tier 4,"28.00","19.60","4.49","2.56","3.99","2.80","3.99","2.80","34.99","19.59","1490","821","14.99","10.49","59000","41300","4.49","2.56","13.90","9.73","14.99","9.99","299.00","177.37","59.99","36.52","4.95","2.80","4.79","2.80","4.49","2.58","4.99","2.91","3.99","2.80","4.49","2.62","5.99","3.81","19.99","11.76","299.00","177.37","4.49","2.60","8.49","4.95","480","336","3.99","2.80","3.99","2.80","14.99","9.99","14.90","10.43","40.00","22.40","5.98","4.19","4.49","2.58","4.99","2.91","4.49","2.62","5.49","3.84","3.99","2.80","4.00","2.60","4900","3118","2500","1750","25.00","17.15","11900.00","8330.00","3.99","2.80","1390.00","973.00","139.00","97.30","4.49","2.64","99.00","57.27","26.99","16.01","4.49","2.64","120","80","8900.00","6230.00","35.00","19.60","4.49","2.60","4.49","2.69","4.49","2.60","3.99","2.80","3.99","2.80","3.99","2.80","3.99","2.80","4.49","2.62","74.99","46.45","4.49","2.66","79.00","55.30","16.90","11.83","4.49","2.60","89000","62300","1400.00","980.00","3.99","2.80","4.49","2.60","44.00","24.64","4.49","2.53","4.49","2.62","6.99","4.25","3.99","2.33","4.49","2.53","3.99","2.80","3.99","2.80","12.90","9.03","199.00","139.30","500.00","350.00","18.99","10.81"
Tier 5,"38.00","26.60","5.49","3.12","4.99","3.50","4.99","3.50","42.99","24.07","1790","987","17.99","12.59","75000","52500","5.49","3.12","17.90","12.53","17.99","11.99","399.00","236.69","79.99","48.69","6.19","3.50","5.99","3.50","5.49","3.15","5.99","3.49","4.99","3.50","5.49","3.20","7.99","5.08","24.99","14.70","379.00","224.83","5.49","3.18","10.99","6.41","600","420","4.99","3.50","4.99","3.50","17.99","11.99","18.90","13.23","50.00","28.00","6.98","4.89","5.49","3.15","5.99","3.49","5.49","3.20","6.99","4.89","4.99","3.50","5.00","3.25","5900","3755","3500","2450","30.00","20.58","14900.00","10430.00","4.99","3.50","1690.00","1183.00","179.00","125.30","5.49","3.23","129.00","74.63","34.99","20.76","5.49","3.23","150","100","10900.00","7630.00","45.00","25.20","5.49","3.18","5.49","3.28","5.49","3.18","4.99","3.50","4.99","3.50","4.99","3.50","4.99","3.50","5.49","3.20","94.99","58.84","5.49","3.26","99.00","69.30","19.90","13.93","5.49","3.18","109000","76300","1800.00","1260.00","4.99","3.50","5.49","3.18","55.00","30.80","5.49","3.10","5.49","3.20","8.99","5.47","4.99","2.91","5.49","3.10","4.99","3.50","4.99","3.50","16.90","11.83","249.00","174.30","600.00","420.00","23.99","13.65"
Tier 6,"48.00","33.60","6.99","3.98","5.99","4.20","5.99","4.20","49.99","27.99","2290","1262","20.99","14.69","89000","62300","6.99","3.98","19.90","13.93","20.99","13.99","499.00","296.02","99.99","60.86","7.43","4.20","7.19","4.20","6.99","4.01","6.99","4.08","5.99","4.20","6.99","4.08","9.99","6.36","29.99","17.64","459.00","272.29","6.99","4.04","12.99","7.58","720","504","5.99","4.20","5.99","4.20","20.99","13.99","22.90","16.03","65.00","36.40","8.98","6.29","6.99","4.01","6.99","4.08","6.99","4.08","8.49","5.94","5.99","4.20","6.00","3.90","7500","4773","3900","2730","40.00","27.44","17900.00","12530.00","5.99","4.20","1990.00","1393.00","209.00","146.30","6.99","4.11","149.00","86.20","39.99","23.72","6.99","4.11","180","120","12900.00","9030.00","49.00","27.44","6.99","4.04","6.99","4.18","6.99","4.04","5.99","4.20","5.99","4.20","5.99","4.20","5.99","4.20","6.99","4.08","109.99","68.14","6.99","4.15","109.00","76.30","24.90","17.43","6.99","4.04","129000","90300","2200.00","1540.00","5.99","4.20","6.99","4.04","65.00","36.40","6.99","3.95","6.99","4.08","9.99","6.08","5.99","3.49","6.99","3.95","5.99","4.20","5.99","4.20","19.90","13.93","299.00","209.30","700.00","490.00","27.99","15.93"
Tier 7,"53.00","37.10","7.99","4.55","6.99","4.90","6.99","4.90","59.99","33.59","2490","1372","24.99","17.49","99000","69300","7.99","4.55","25.90","18.13","24.99","16.66","549.00","325.68","109.99","66.95","8.67","4.90","8.39","4.90","7.99","4.58","7.99","4.66","6.99","4.90","7.99","4.66","10.99","6.99","34.99","20.58","529.00","313.81","7.99","4.62","14.99","8.74","840","588","6.99","4.90","6.99","4.90","24.99","16.66","24.90","17.43","75.00","42.00","9.98","6.99","7.99","4.58","7.99","4.66","7.99","4.66","9.99","6.99","6.99","4.90","7.00","4.55","8900","5664","4500","3150","45.00","30.87","19900.00","13930.00","6.99","4.90","2490.00","1743.00","249.00","174.30","7.99","4.70","179.00","103.55","49.99","29.66","7.99","4.70","210","140","14900.00","10430.00","59.00","33.04","7.99","4.62","7.99","4.78","7.99","4.62","6.99","4.90","6.99","4.90","6.99","4.90","6.99","4.90","7.99","4.66","129.99","80.52","7.99","4.74","129.00","90.30","29.90","20.93","7.99","4.62","149000","104300","2500.00","1750.00","6.99","4.90","7.99","4.62","75.00","42.00","7.99","4.51","7.99","4.66","11.99","7.30","6.99","4.08","7.99","4.51","6.99","4.90","6.99","4.90","22.90","16.03","349.00","244.30","800.00","560.00","32.99","18.77"
Tier 8,"58.00","40.60","8.99","5.12","7.99","5.60","7.99","5.60","69.99","39.19","2990","1648","29.99","20.99","119000","83300","8.99","5.12","29.90","20.93","29.99","19.99","599.00","355.34","129.99","79.12","9.91","5.60","9.59","5.60","8.99","5.16","9.99","5.83","7.99","5.60","8.99","5.24","12.99","8.27","39.99","23.52","599.00","355.34","8.99","5.20","17.99","10.49","960","672","7.99","5.60","7.99","5.60","29.99","19.99","29.90","20.93","85.00","47.60","10.98","7.69","8.99","5.16","9.99","5.83","8.99","5.24","10.99","7.69","7.99","5.60","8.00","5.20","9900","6300","5500","3850","50.00","34.30","22900.00","16030.00","7.99","5.60","2790.00","1953.00","279.00","195.30","8.99","5.29","199.00","115.12","54.99","32.62","8.99","5.29","240","160","17900.00","12530.00","69.00","38.64","8.99","5.20","8.99","5.38","8.99","5.20","7.99","5.60","7.99","5.60","7.99","5.60","7.99","5.60","8.99","5.24","149.99","92.91","8.99","5.33","149.00","104.30","34.90","24.43","8.99","5.20","179000","125300","2900.00","2030.00","7.99","5.60","8.99","5.20","85.00","47.60","8.99","5.08","8.99","5.24","13.99","8.52","7.99","4.66","8.99","5.08","7.99","5.60","7.99","5.60","24.90","17.43","399.00","279.30","900.00","630.00","37.99","21.62"
Tier 9,"68.00","47.60","9.99","5.69","8.99","6.30","8.99","6.30","79.99","44.79","3290","1813","32.99","23.09","129000","90300","9.99","5.69","31.90","22.33","32.99","21.99","699.00","414.66","139.99","85.21","11.15","6.30","10.79","6.30","9.99","5.73","10.99","6.41","8.99","6.30","9.99","5.83","13.99","8.90","44.99","26.46","699.00","414.66","9.99","5.78","19.99","11.66","1080","756","8.99","6.30","8.99","6.30","32.99","21.99","34.90","24.43","95.00","53.20","12.98","9.09","9.99","5.73","10.99","6.41","9.99","5.83","11.99","8.39","8.99","6.30","9.00","5.85","11000","7000","5900","4130","60.00","41.16","24900.00","17430.00","8.99","6.30","2990.00","2093.00","319.00","223.30","9.99","5.88","229.00","132.48","59.99","35.59","9.99","5.88","270","180","19900.00","13930.00","79.00","44.24","9.99","5.78","9.99","5.98","9.99","5.78","8.99","6.30","8.99","6.30","8.99","6.30","8.99","6.30","9.99","5.83","169.99","105.30","9.99","5.93","179.00","125.30","37.90","26.53","9.99","5.78","199000","139300","3200.00","2240.00","8.99","6.30","9.99","5.78","99.00","55.44","9.99","5.64","9.99","5.83","14.99","9.12","8.99","5.24","9.99","5.64","8.99","6.30","8.99","6.30","29.90","20.93","449.00","314.30","1000.00","700.00","42.99","24.47"
